id	vernacularName	language
4041	La Noctuelle soignée	fr
4041	Schmuckeule	de
4042	Kratzbeer-Blattsackfalter	de
4042	Tweebandscheutboorder	nl
4043	Berkengalmot	nl
4044	Zwartkopscheutboorder	nl
4045	Rosen-Blattsackfalter	de
4045	Rozenscheutboorder	nl
4046	Devon Carpet	en
4046	Donkere walstrospanner	nl
4046	La Cidarie de Metcalfe	fr
4046	Sumpflabkraut-Bindenspanner	de
4047	Klierstijlscheutboorder	nl
4047	Schluchtwald-Blattsackfalter	de
4048	Fraaie walstrospanner	nl
4048	La Cidarie enfumée	fr
4048	Labkraut-Bindenspanner	de
4048	Water Carpet	en
4049	Le Sphinx du Peuplier	fr
4049	Pappelschwärmer	de
4049	Poplar Hawkmoth	en
4049	Populierenpijlstaart	nl
4050	La Larentie cloutée	fr
4050	Mallow	en
4050	Malvabandspanner	nl
4050	Malven-Blattspanner	de
4051	Braunauge	de
4051	Large Wall	en
4051	Némusien	fr
4051	Rotsvlinder	nl
4052	Argusvlinder	nl
4052	Mauerfuchs	de
4052	Satyre	fr
4052	The Wall	en
4053	Alpenweide-uil	nl
4053	Graue Bergraseneule	de
4053	L'Hadène des Liondents	fr
4054	Eichenspinner	de
4054	Hageheld	nl
4054	Le Bombyx du Chêne, Le Minime à bandes jaunes	fr
4054	Oak Eggar	en
4055	Grass Eggar	en
4055	Kleespinner	de
4055	Kleine hageheld	nl
4055	Le Bombyx du Trèfle	fr
4056	Beautiful Hook-tip	en
4056	Bruine sikkeluil	nl
4056	Le Crochet	fr
4056	Sicheleule	de
4057	Hertshooibladroller	nl
4058	Habichtskraut-Wiesenspinner	de
4058	Herfstspinner	nl
4058	Le Bombyx des buissons, la Brune du Pissenlit	fr
4059	Oranjeblauwe bladroller	nl
4060	Cryptisch boswitje	nl
4061	Boswitje	nl
4061	Piéride de la moutarde	fr
4061	Tintenfleck-Weißling	de
4061	Wood White	en
4062	Le Bombyx bicolore	fr
4062	Tweekleurige tandvlinder	nl
4062	Weißer Zahnspinner	de
4062	White Prominent	en
4063	Berg-Graseule	de
4063	Komma-uil	nl
4063	Le Comma blanc	fr
4063	Shoulder-striped Wainscot	en
4064	Goudenregenmot	nl
4065	Rolklaversneeuwmot	nl
4066	Hertshooisneeuwmot	nl
4067	Apfelbaum-Langhornminierfalter	de
4067	Appelsneeuwmot	nl
4068	Gestreepte rietuil	nl
4068	La Leucanie obsolète	fr
4068	Obscure Wainscot	en
4068	Schilf-Graseule	de
4069	Bijvoetblaasmot	nl
4069	Mugwort slender	en
4071	Le Bombyx du Saule, l'Apparent	fr
4071	Pappelspinner	de
4071	Satijnvlinder	nl
4071	White Satin Moth	en
4072	Bremsneeuwmot	nl
4073	Gevlekte algenmot	nl
4074	Aangebrande spanner	nl
4074	La Phalène du Fusain	fr
4074	Pfaffenhütchen-Harlekin	de
4074	Scorched Carpet	en
4075	Kleine ijsvogelvlinder	nl
4075	Kleiner Eisvogel	de
4075	Petit Sylvain	fr
4075	White Admiral	en
4076	Grand Sylvain	fr
4076	Grote ijsvogelvlinder	nl
4076	Großer Eisvogel	de
4076	Poplar Admiral	en
4077	Lisdoddeveertje	nl
4078	Braungraue Holzeule	de
4078	Conformist	en
4078	Kleine manteluil	nl
4078	La Xyline du Bouleau	fr
4079	Grauer Mehlspanner	de
4079	Grey Carpet	en
4079	La Phalène argentée, la Phalène grisette.	fr
4079	Lichtgrijze spanner	nl
4080	Gagelstrauch-Moor-Holzeule	de
4080	Gageluil	nl
4080	Nonconformist	en
4081	Blair's Shoulder-knot	en
4081	Coniferenuil	nl
4081	La Xyline du Cyprès	fr
4081	Zypressen-Holzeule	de
4082	Grey Shoulder-knot	en
4082	Hellgraue Holzeule	de
4082	La Xyline du Chêne	fr
4082	Lichtgrijze uil	nl
4083	Four-spotted Footman	en
4083	La Lithosie quadrille	fr
4083	Vierpunkt-Flechtenbärchen	de
4083	Viervlakvlinder	nl
4084	Bruine essenuil	nl
4084	La Xyline du Frêne	fr
4084	Schmalflügelige Holzeule	de
4084	Tawny Pinion	en
4085	Geelbruine houtuil	nl
4085	Gelbbraune Rindeneule	de
4085	La Xyline pétrifiée	fr
4085	Pale Pinion	en
4086	Bruine bosbesuil	nl
4086	Golden-rod Brindle	en
4086	La Noctuelle de la Verge-d'Or	fr
4086	Rollflügel-Holzeule	de
4087	Slangenkruidbladroller	nl
4088	Druivenbladroller	nl
4089	Strandkruidbladroller	nl
4090	Harlekijnbladroller	nl
4091	Grauer Lappenspanner	de
4091	L'Haltère, La Phalène hexaptérate	fr
4091	Lichte blokspanner	nl
4091	Seraphim	en
4092	Clouded Border	en
4092	Gerande spanner	nl
4092	La Bordure entrecoupée, la Marginée	fr
4092	Vogelschmeiß-Spanner, Schwarzrand-Harlekin	de
4093	La Phalène à deux taches	fr
4093	Tweevlekspanner	nl
4093	White-pinion Spotted	en
4093	Zweifleck-Weißspanner	de
4094	Clouded Silver	en
4094	La Phalène satinée	fr
4094	Schattenbinden-Weißspanner	de
4094	Witte schaduwspanner	nl
4095	Bacchante	fr
4095	Boszandoog	nl
4095	Gelbringfalter	de
4095	Woodland Brown	en
4096	Beet webworm moth	en
4096	Geelzoommot	nl
4097	Stipjesbladroller	nl
4098	Gemarmerde drievlekbladroller	nl
4099	Disteljuweeltje	nl
4100	Hoornzakdrager	nl
4101	Dumeril's Rustic	en
4101	Dumerils Graswurzeleule	de
4101	La Noctuelle de Duméril	fr
4101	Witvlekgrasuil	nl
4102	Flounced Rustic	en
4102	Gewone grasuil	nl
4102	La Lupérine testacée	fr
4102	Lehmfarbige Graswurzeleule	de
4103	Tienvlekmot	nl
4104	Cuivré des marais	fr
4104	Grote vuurvlinder	nl
4104	Großer Feuerfalter	de
4104	Large Copper	en
4105	Blauschillernder Feuerfalter	de
4105	Blauwe vuurvlinder	nl
4105	Cuivré de la bistorte	fr
4105	Violet Copper	en
4106	Cuivré écarlate	fr
4106	Lilagold-Feuerfalter	de
4106	Purple-edged Copper	en
4106	Rode vuurvlinder	nl
4107	Cuivré commun	fr
4107	Kleine vuurvlinder	nl
4107	Kleiner Feuerfalter	de
4107	Small Copper	en
4108	Brauner Feuerfalter	de
4108	Bruine vuurvlinder	nl
4108	Cuivré fuligineux	fr
4108	Sooty Copper	en
4109	Cuivré de la verge-d'or	fr
4109	Dukaten-Feuerfalter	de
4109	Morgenrood	nl
4109	Scarce Copper	en
4110	Didyma-Halmeule	de
4110	La Noctuelle didyme	fr
4110	Lesser Common Rustic	en
4110	Weidehalmuiltje	nl
4111	Common Rustic	en
4111	Getreide-Halmeule	de
4111	Halmrupsvlinder	nl
4111	L'Hiéroglyphe	fr
4112	Bruine hoeklijnuil	nl
4112	Eichenwald-Winkeleule	de
4112	La Noctuelle de la Petite-Oseille	fr
4113	Beautiful Carpet	en
4113	Brombeer-Blattspanner	de
4113	Brummelspanner	nl
4113	La Phalène de la Ronce, la Blanchâtre	fr
4114	Anemonen-Blattspanner	de
4114	L'Eubolie âpre, La Périzome des Myrtilles	fr
4114	Pijlkruidspanner	nl
4114	Twin-spot Carpet	en
4115	Cloaked Minor	en
4115	La Noctuelle furoncule	fr
4115	Trockenrasen-Halmeulchen	de
4115	Zandhalmuiltje	nl
4116	Duinhalmuiltje	nl
4116	La Noctuelle de l'Elyme	fr
4116	Rosy Minor	en
4116	Sandflur-Halmeulchen	de
4117	Auenwald-Winkeleule	de
4117	Hoeklijnuil	nl
4117	La Noctuelle de l'Oxalide	fr
4118	La Larentie parallèle	fr
4118	Parallelbindiger Kräuterspanner	de
4118	Zwartstreepspanner	nl
4119	Gelber Sonnenröschen-Palpenfalter	de
4119	Toverstafpalpmot	nl
4120	Kaneelsikkelmot	nl
4120	Zimtfarbener Faulholzfalter	de
4121	Lichte kaneelsikkelmot	nl
4122	Visiteermot	nl
4123	Kleine stipbladroller	nl
4124	Grijze muurkokermot	nl
4125	Driedistelpalpmot	nl
4126	Karmozijnrode distelpalpmot	nl
4127	Klispalpmot	nl
4128	Knoopkruidpalpmot	nl
4129	Aarddistelpalpmot	nl
4130	Vroege oermot	nl
4130	White-barred Gold	en
4131	Gebandeerde oermot	nl
4132	Dotterbloemoermot	nl
4133	Bremsteltmot	nl
4134	Black-headed Gold	en
4134	Riedgras-Urfalter	de
4134	Zeggeoermot	nl
4135	Gelderse oermot	nl
4135	Riedgras-Urfalter	de
4136	Bosoermot	nl
4136	Red-barred Gold	en
4137	La Rosette	fr
4137	Rosen-Flechtenbärchen	de
4137	Rosy Footman	en
4137	Rozenblaadje	nl
4138	Le Sphinx du Tilleul	fr
4138	Lime Hawkmoth	en
4138	Lindenschwärmer	de
4138	Lindepijlstaart	nl
4139	Bruin spannertje	nl
4139	Drab Looper	en
4139	La Souris, la Phalène de l'Euphorbe	fr
4139	Wolfsmilch-Spanner, Mausspanner	de
4140	Braunes Ordensband	de
4140	Grijs weeskind	nl
4140	La Lunaire	fr
4140	Lunar Double-stripe	en
4141	Vuurpalpmot	nl
4142	Zuidelijke vuurpalpmot	nl
4143	Schmalstreifiger Ginster-Palpenfalter	de
4143	Streephoutmot	nl
4144	Witpootpalpmot	nl
4145	Bremkwastje	nl
4146	Adusta-uil	nl
4146	Dark Brocade	en
4146	La Noctuelle aduste	fr
4146	Rotbraune Waldrandeule	de
4147	Beautiful Arches	en
4147	Dunkelbraune Waldrandeule	de
4147	La Noctuelle saturée	fr
4147	Roestuil	nl
4148	Gevlekte groenuil	nl
4148	L'Avrilière	fr
4148	Scarce Merveille du Jour	en
4148	Seladoneule	de
4149	Bradleys Fransenfalter	de
4149	Harig wilgenroosjesgalmot	nl
4150	Wilgenroosjesscheutmot	nl
4151	Basterdwederikgalmot	nl
4152	Gewone wilgenroosjesmot	nl
4153	Großer Weidenröschen-Fransenfalter	de
4153	Wilgenroosjeswortelmot	nl
4154	Wilgenroosjesboorder	nl
4155	Tweelingwilgenroosjesmot	nl
4156	Zwarte heksenkruidmot	nl
4157	Basterdwederikmot	nl
4158	Sonnenröschen-Fransenfalter	de
4158	Zonneroosjesmot	nl
4159	Gele wilgenroosjesmot	nl
4160	Bonte wilgenroosjesmot	nl
4161	Tweekleurige wilgenroosjesmot	nl
4162	Wilgenroosjesgalmot	nl
4163	Basterdwederikpeulmot	nl
4164	Hexenkraut-Fransenfalter	de
4164	Kleine heksenkruidmot	nl
4165	Gilbweiderich-Palpenfalter	de
4165	Witvlekboegsprietmot	nl
4166	Crème kijkgaatje	nl
4167	Adlerfarn-Palpenfalter	de
4167	Varenboegsprietmot	nl
4168	Donkere boegsprietmot	nl
4169	Geoogde pelsmot	nl
4170	Duizendknoopboegsprietmot	nl
4170	Hornigs Ruderalflur-Palpenfalter	de
4171	Egaal kijkgaatje	nl
