id	taxonID	acceptedNameUsageID	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	informationWithheld	references
6193	6193		Ematurga atomaria (Linnaeus, 1758)	Animalia	Insecta	Lepidoptera		Ematurga		atomaria	species	(Linnaeus, 1758)	accepted	A common species throughout Belgium, especially in the Kempen and the south of the country.	2021-03-13	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6193
5715	5715		Caryocolum blandulella (Tutt, 1887)	Animalia	Insecta	Lepidoptera		Caryocolum		blandulella	species	(Tutt, 1887)	accepted	A very rare and local species in Belgium, hitherto only known from the coastal area.	2021-03-12	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5715
7538	7538	5103	Cosmopterix drurella sensu auct.	Animalia	Insecta	Lepidoptera		Cosmopterix		drurella	species	sensu auct.	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7538
6569	6569	5396	Anacampsis betulinella Vári, 1941	Animalia	Insecta	Lepidoptera	Gelechiidae	Anacampsis		betulinella	species	Vári, 1941	synonym		2020-03-25	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6569
4628	4628		Agnoea latipennella (Jäckh, 1959)	Animalia	Insecta	Lepidoptera		Agnoea	Agnoea	latipennella	species	(Jäckh, 1959)	accepted	A very rare and local species in Belgium, observed in the south and east of the country. Study of the genitalia is sometimes necessary to identify the specimens, especially when they are worn.	2021-03-05	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4628
4635	4635		Agnoea subochreella (Doubleday, 1859)	Animalia	Insecta	Lepidoptera		Agnoea	Agnoea	subochreella	species	(Doubleday, 1859)	accepted	A very rare and local species in Belgium. Study of the genitalia is sometimes necessary to identify the specimens, especially when they are worn.	2021-03-05	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4635
6150	6150		Elachista atricomella Stainton, 1849	Animalia	Insecta	Lepidoptera		Elachista		atricomella	species	Stainton, 1849	accepted	A very rare and local species in Belgium.	2021-04-11	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6150
7316	7316	4635	Agnoea panzerella sensu Stephens, 1834	Animalia	Insecta	Lepidoptera		Agnoea	Agnoea	panzerella	species	sensu Stephens, 1834	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7316
3904	3904		Helcystogramma triannulella (Herrich-Schäffer, 1854)	Animalia	Insecta	Lepidoptera		Helcystogramma		triannulella	species	(Herrich-Schäffer, 1854)	accepted	A fairly distinct species not seen for some time in Belgium and may be extinct.	2021-03-08	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/3904
5484	5484		Apocheima hispidaria (Denis & Schiffermüller, 1775)	Animalia	Insecta	Lepidoptera		Apocheima		hispidaria	species	(Denis & Schiffermüller, 1775)	accepted	A fairly common species throughout Belgium.	2021-03-12	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5484
6676	6676	5705	Carcina fagana (Denis & Schiffermüller, 1775)	Animalia	Insecta	Lepidoptera	Peleopodidae	Carcina		fagana	species	(Denis & Schiffermüller, 1775)	synonym		2020-06-17	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6676
6151	6151		Elachista bedellella (Sircom, 1848)	Animalia	Insecta	Lepidoptera		Elachista		bedellella	species	(Sircom, 1848)	accepted	A very rare and local species in Belgium, not often observed.	2021-03-14	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6151
6080	6080		Diurnea fagella (Denis & Schiffermüller, 1775)	Animalia	Insecta	Lepidoptera		Diurnea		fagella	species	(Denis & Schiffermüller, 1775)	accepted	A common early spring species throughout Belgium.	2021-04-11	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6080
4463	4463		Phigalia pilosaria (Denis & Schiffermüller, 1775)	Animalia	Insecta	Lepidoptera		Phigalia		pilosaria	species	(Denis & Schiffermüller, 1775)	accepted	A rather common species throughout Belgium.	2021-06-18	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4463
6830	6830	6081	Diurnea phryganella (Hübner, 1796)	Animalia	Insecta	Lepidoptera		Diurnea		phryganella	species	(Hübner, 1796)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6830
7214	7214	4355	Pancalia schmidtella (Treitschke, 1833)	Animalia	Insecta	Lepidoptera		Pancalia		schmidtella	species	(Treitschke, 1833)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7214
7215	7215	4356	Pancalia latreillella Curtis, 1830	Animalia	Insecta	Lepidoptera		Pancalia		latreillella	species	Curtis, 1830	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7215
5398	5398		Anacampsis populella (Clerck, 1759)	Animalia	Insecta	Lepidoptera	Gelechiidae	Anacampsis		populella	species	(Clerck, 1759)	accepted	A fairly common species in many places in Belgium.	2021-03-06	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5398
5399	5399		Anacampsis scintillella (Fischer von Röslerstamm, 1841)	Animalia	Insecta	Lepidoptera	Gelechiidae	Anacampsis		scintillella	species	(Fischer von Röslerstamm, 1841)	accepted	A very rare species that has not been seen for a long time in Belgium. Probably extinct.	2021-03-06	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5399
